"user"	"date"	"oclc"	"name"	"state"	"ids"	"turn"	"status"	"distance"
"bidoshik"	"2014-09-03"	"IUL"	"INDIANA UNIVERSITY"	"IN"	false	"14"	"Faculty"	"702"
"bidoshik"	"2015-03-25"	"YQR"	"ROCHESTER PUB LIBRARY"	"NY"	false	"11"	"Faculty"	"186"
"bidoshik"	"2015-10-13"	"MTH"	"MOUNT HOLYOKE COLLEGE"	"MA"	false	"5"	"Faculty"	"79"
"bidoshik"	"2015-01-23"	"DKC"	"DICKINSON COLLEGE"	"PA"	false	"3"	"Faculty"	"249"
"bidoshik"	"2015-04-02"	"WLU"	"WESLEYAN UNIVERSITY"	"CT"	false	"11"	"Faculty"	"109"
"bishopj"	"2017-06-22"	"NDD"	"DUKE UNIV LIBRARY"	"NC"	false	"12"	"Faculty"	"0"
"bittnerd"	"2015-01-06"	"DRU"	"DREW UNIV LIBRARY"	"NJ"	false	"5"	"Student"	"144"
"bleaset"	"2016-03-30"	"WYU"	"UNIVERSITY of WYOMING LIBRARY"	"WY"	false	"9"	"Student"	"1617"
"blewerc"	"2015-11-20"	"NYG"	"NEW YORK STATE LIBRARY"	"NY"	true	"4"	"Student"	"14"
"blewerc"	"2015-11-20"	"VVJ"	"JOHN JAY COL of CRIMINAL JUSTICE LIBRARY"	"NY"	true	"12"	"Student"	"0"
"blowk"	"2017-09-27"	"BTS"	"BATES COLLEGE"	"ME"	true	"6"	"Student"	"207"
"blowk"	"2017-09-27"	"HVC"	"HAVERFORD COLLEGE"	"PA"	false	"5"	"Student"	"207"
"blowk"	"2017-09-27"	"VNF"	"PAUL SMITHS COL LIBRARY"	"NY"	false	"6"	"Student"	"0"
"blowk"	"2017-09-29"	"OWS"	"WILLAMETTE UNIVERSITY"	"OR"	false	"8"	"Student"	"2412"
"bohleys"	"2016-08-19"	"PMD"	"MARICOPA COMMUN COL DIST"	"AZ"	false	"8"	"Staff"	"0"
"bondh2"	"2015-06-09"	"ZQM"	"SUNY at POTSDAM"	"NY"	true	"4"	"Staff"	"0"
"bondh2"	"2017-03-20"	"SNN"	"SMITH COLLEGE"	"MA"	false	"6"	"Staff"	"74"
"bondh2"	"2016-10-14"	"SYB"	"SYRACUSE UNIVERSITY"	"NY"	true	"7"	"Staff"	"113"
"bonestea"	"2016-11-11"	"BKL"	"BROOKLYN PUB LIBRARY"	"NY"	false	"8"	"Student"	"0"
"boreka"	"2016-06-10"	"PBU"	"BUCKNELL UNIVERSITY"	"PA"	false	"3"	"Student"	"199"
"borkowse"	"2014-04-28"	"OHDNW"	"NORTHWEST OHIO REGN BOOK DEPOSITORY"	"OH"	false	"7"	"Staff"	"0"
"borkowse"	"2017-06-14"	"CSF"	"SAN FRANCISCO STATE UNIV LIBRARY"	"CA"	false	"19"	"Staff"	"0"
"borkowse"	"2017-06-14"	"WYU"	"UNIVERSITY of WYOMING LIBRARY"	"WY"	false	"12"	"Staff"	"1617"
"borkowsf"	"2015-07-13"	"ZAE"	"SAINT LOUIS CNTY LIBRARY"	"MO"	false	"4"	"Student"	"0"
"borkowsf"	"2015-11-24"	"WTU"	"WASHINGTON UNIVERSITY"	"MO"	false	"8"	"Student"	"903"
"borkowsf"	"2015-07-13"	"AMH"	"AMHERST COLLEGE"	"MA"	false	"8"	"Student"	"78"
"boxm"	"2015-03-18"	"WCM"	"WILLIAMS COLLEGE"	"MA"	false	"7"	"Student"	"37"
"brassarj"	"2016-06-07"	"KEN"	"KENYON COL LIBRARY"	"OH"	false	"5"	"Student"	"469"
"brassarj"	"2016-06-07"	"WLU"	"WESLEYAN UNIVERSITY"	"CT"	false	"5"	"Student"	"109"
"brassarj"	"2017-09-29"	"COO"	"CORNELL UNIVERSITY"	"NY"	false	"9"	"Student"	"133"
"brennand"	"2013-11-25"	"DLM"	"UNIVERSITY of DELAWARE"	"DE"	false	"7"	"Faculty"	"237"
"brenng"	"2014-05-14"	"YRM"	"RENSSELAER POLYTECHNIC INST"	"NY"	false	"5"	"Student"	"14"
"brisonk"	"2015-04-24"	"TWU"	"UNIVERSITY of the SOUTH"	"TN"	false	"12"	"Faculty"	"830"
"brittono"	"2017-04-04"	"NMP"	"MINOT PUB LIBRARY"	"ND"	false	"11"	"Student"	"0"
"brittono"	"2015-12-02"	"VZS"	"SKIDMORE COLLEGE"	"NY"	false	"3"	"Student"	"21"
"brittono"	"2016-04-04"	"YJM"	"FULTON-MONTGOMERY COMMUN COLLEGE"	"NY"	false	"3"	"Student"	"0"
"brittono"	"2017-06-06"	"BUF"	"SUNY at BUFFALO"	"NY"	true	"5"	"Student"	"248"
"brittono"	"2015-06-15"	"YQR"	"ROCHESTER PUB LIBRARY"	"NY"	false	"13"	"Student"	"186"
"brittono"	"2017-06-08"	"MNO"	"SAINT OLAF COLLEGE"	"MN"	false	"11"	"Student"	"967"
"brittono"	"2016-03-11"	"NNM"	"DAVIDSON COLLEGE"	"NC"	false	"3"	"Student"	"626"
"brittono"	"2016-06-08"	"VXN"	"NEW YORK STATE DEPT of HEALTH"	"NY"	false	"3"	"Student"	"17"
"brittono"	"2017-04-11"	"KNJ"	"JOHNSON CNTY LIBRARY"	"KS"	false	"4"	"Student"	"0"
"brittono"	"2015-09-16"	"EXH"	"HOPE COLLEGE"	"MI"	false	"7"	"Student"	"617"
"brittono"	"2017-05-08"	"YOM"	"SUNY at OSWEGO"	"NY"	true	"5"	"Student"	"139"
"brittono"	"2016-03-11"	"VXE"	"ELMIRA COLLEGE"	"NY"	false	"2"	"Student"	"0"
"brittono"	"2016-04-04"	"VYG"	"FINGER LAKES LIBR SYST"	"NY"	false	"7"	"Student"	"0"
"brittono"	"2016-04-04"	"ZFM"	"FINGER LAKES COMMUN COLLEGE"	"NY"	false	"8"	"Student"	"0"
"brittono"	"2016-03-11"	"OWS"	"WILLAMETTE UNIVERSITY"	"OR"	false	"12"	"Student"	"2412"
"brittono"	"2015-11-19"	"BNG"	"STATE UNIVERSITY of NEW YORK, BINGHAMTON LIBRARY"	"NY"	true	"5"	"Student"	"116"
"brittono"	"2015-06-15"	"GZQ"	"MARQUETTE UNIV RAYNOR MEMORIAL LIBRARY"	"WI"	false	"13"	"Student"	"708"
"brittono"	"2016-04-04"	"YQR"	"ROCHESTER PUB LIBRARY"	"NY"	false	"7"	"Student"	"186"
"brittono"	"2017-03-28"	"EGA"	"AGNES SCOTT COLLEGE"	"GA"	false	"12"	"Student"	"0"
"brittono"	"2016-03-11"	"NNM"	"DAVIDSON COLLEGE"	"NC"	false	"7"	"Student"	"626"
"brooksj2"	"2014-06-30"	"NAM"	"SUNY at ALBANY"	"NY"	true	"7"	"Student"	"10"
"brooksj2"	"2014-02-03"	"SNN"	"SMITH COLLEGE"	"MA"	false	"7"	"Student"	"74"
"brooksj2"	"2014-05-19"	"TXA"	"TEXAS A&M UNIVERSITY"	"TX"	false	"1"	"Student"	"0"
"brownc"	"2016-09-13"	"KFP"	"PITTSBURG STATE UNIVERSITY"	"KS"	false	"12"	"Faculty"	"0"
"brownc"	"2016-09-13"	"NTE"	"WASHINGTON STATE UNIVERSITY"	"WA"	false	"14"	"Faculty"	"0"
"brownc"	"2016-09-02"	"VGK"	"SULLIVAN CNTY COMMUN COLLEGE"	"NY"	true	"25"	"Faculty"	"0"
"brownea"	"2017-10-19"	"LFM"	"FRANKLIN & MARSHALL COLLEGE"	"PA"	false	"2"	"Student"	"228"
"bruckc"	"2015-10-07"	"NAM"	"SUNY at ALBANY"	"NY"	true	"6"	"Student"	"10"
"bruestle"	"2014-03-19"	"MIA"	"MIAMI UNIVERSITY"	"OH"	false	"10"	"Student"	"0"
"bruestle"	"2014-03-19"	"CUS"	"UNIVERSITY of CALIFORNIA, SAN DIEGO"	"CA"	false	"13"	"Student"	"0"
"bruestle"	"2014-03-18"	"OKS"	"OKLAHOMA STATE UNIVERSITY"	"OK"	false	"11"	"Student"	"1313"
